Daily Returns & Portfolio Return,,,,,,,
Daily return = Current Price / Previous Price − 1. Portfolio return = weighted sum of stock returns.,,,,,,,
,,,,,,,
Date,Reliance Industries,HDFC Bank,TCS,ICICI Bank,Infosys,Portfolio Return,NIFTY 50
09-Dec-2024,(1.25%),0.76%,0.15%,(0.49%),0.07%,(0.16%),(0.24%)
10-Dec-2024,(0.80%),(0.10%),(0.44%),0.62%,1.29%,(0.03%),(0.04%)
11-Dec-2024,(0.52%),(0.27%),(0.12%),(0.22%),1.31%,(0.06%),0.13%
12-Dec-2024,(1.20%),(0.21%),0.62%,0.13%,0.65%,(0.11%),(0.38%)
13-Dec-2024,0.79%,0.67%,0.43%,1.18%,0.64%,0.72%,0.89%
16-Dec-2024,(0.36%),(0.35%),(1.31%),0.09%,(0.98%),(0.57%),(0.40%)
17-Dec-2024,(1.81%),(1.71%),(1.96%),(0.92%),(0.17%),(1.44%),(1.35%)
18-Dec-2024,0.64%,(1.23%),0.45%,(1.47%),0.13%,(0.26%),(0.56%)
19-Dec-2024,(1.82%),(0.95%),(1.75%),(2.07%),(1.66%),(1.60%),(1.02%)
20-Dec-2024,(2.04%),(1.23%),(2.38%),0.12%,(1.24%),(1.46%),(1.52%)
23-Dec-2024,1.41%,1.67%,(0.29%),0.65%,0.11%,0.83%,0.70%
24-Dec-2024,0.04%,(0.16%),0.51%,0.03%,(0.79%),(0.04%),(0.11%)
26-Dec-2024,(0.51%),(0.41%),(0.25%),0.01%,(0.09%),(0.29%),0.10%
27-Dec-2024,0.37%,0.42%,(0.10%),0.79%,0.49%,0.37%,0.27%
30-Dec-2024,(0.85%),(1.13%),(0.15%),(0.99%),(0.56%),(0.76%),(0.71%)
31-Dec-2024,0.39%,(0.28%),(1.54%),(1.00%),(1.36%),(0.64%),(0.00%)
01-Jan-2025,0.48%,0.56%,0.43%,0.16%,0.13%,0.39%,0.41%
02-Jan-2025,1.68%,0.62%,1.54%,0.54%,4.00%,1.56%,1.88%
03-Jan-2025,0.75%,(2.48%),(1.82%),(1.98%),(0.98%),(1.24%),(0.76%)
06-Jan-2025,(2.65%),(2.21%),(0.12%),(0.08%),(0.05%),(1.26%),(1.62%)
07-Jan-2025,1.88%,0.17%,(1.63%),1.20%,(0.36%),0.31%,0.39%
08-Jan-2025,1.99%,(1.11%),1.99%,(1.21%),0.12%,0.45%,(0.08%)
09-Jan-2025,(0.85%),(1.56%),(1.69%),(0.11%),(0.82%),(1.08%),(0.69%)
10-Jan-2025,(1.02%),(0.66%),5.62%,(0.99%),2.59%,0.94%,(0.40%)
13-Jan-2025,(0.17%),(1.56%),0.60%,(1.61%),(0.24%),(0.59%),(1.47%)
14-Jan-2025,(0.09%),0.97%,(1.35%),0.86%,(1.13%),(0.09%),0.39%
15-Jan-2025,1.09%,(0.22%),0.39%,(0.17%),0.49%,0.35%,0.16%
16-Jan-2025,1.14%,0.55%,(1.02%),0.88%,(1.09%),0.19%,0.42%
17-Jan-2025,2.83%,(0.93%),(0.15%),(1.89%),(5.86%),(0.71%),(0.47%)
20-Jan-2025,0.24%,0.89%,(1.13%),0.61%,(0.12%),0.13%,0.61%
21-Jan-2025,(2.43%),(0.54%),(1.03%),(2.98%),(0.69%),(1.50%),(1.37%)
22-Jan-2025,0.27%,1.44%,2.99%,0.36%,3.10%,1.54%,0.57%
23-Jan-2025,(1.05%),(0.07%),(0.27%),0.11%,0.48%,(0.25%),0.22%
24-Jan-2025,(1.37%),(0.91%),0.17%,0.62%,0.54%,(0.36%),(0.49%)
27-Jan-2025,(1.36%),(1.21%),(2.10%),1.55%,(2.85%),(1.26%),(1.14%)
28-Jan-2025,0.41%,2.49%,(0.61%),1.54%,0.43%,0.90%,0.56%
29-Jan-2025,0.09%,0.41%,1.47%,0.38%,2.81%,0.90%,0.90%
30-Jan-2025,1.42%,0.85%,0.01%,0.32%,(1.13%),0.45%,0.37%
31-Jan-2025,0.96%,0.43%,0.30%,(0.22%),1.07%,0.53%,1.11%
01-Feb-2025,(0.04%),(0.46%),(0.95%),0.22%,(1.51%),(0.51%),(0.11%)
03-Feb-2025,(1.48%),(0.77%),(0.11%),(0.20%),0.65%,(0.52%),(0.52%)
04-Feb-2025,3.15%,2.56%,0.94%,1.21%,1.91%,2.08%,1.62%
05-Feb-2025,(0.54%),0.98%,(0.39%),(0.04%),(0.09%),0.01%,(0.18%)
06-Feb-2025,0.26%,0.35%,(0.20%),0.37%,0.98%,0.31%,(0.39%)
07-Feb-2025,(1.16%),(0.64%),(1.31%),(1.22%),(0.63%),(0.99%),(0.18%)
10-Feb-2025,(1.03%),(0.98%),0.19%,0.45%,(1.23%),(0.58%),(0.76%)
11-Feb-2025,(1.50%),(0.84%),(1.82%),(0.78%),(0.25%),(1.10%),(1.32%)
12-Feb-2025,(1.48%),0.32%,(0.34%),(0.08%),(0.67%),(0.47%),(0.12%)
13-Feb-2025,(0.04%),(0.53%),(1.01%),(0.23%),(1.07%),(0.54%),(0.06%)
14-Feb-2025,0.09%,(0.17%),0.63%,0.90%,0.71%,0.35%,(0.44%)
17-Feb-2025,0.63%,1.33%,(0.77%),(0.71%),(0.76%),0.11%,0.13%
18-Feb-2025,0.04%,0.33%,(0.80%),(0.65%),0.52%,(0.09%),(0.06%)
19-Feb-2025,0.17%,0.24%,(2.30%),1.50%,(2.22%),(0.47%),(0.05%)
20-Feb-2025,0.45%,(2.32%),(0.12%),(0.93%),0.79%,(0.51%),(0.09%)
21-Feb-2025,(0.39%),0.32%,0.17%,(1.36%),(0.56%),(0.27%),(0.51%)
24-Feb-2025,(1.11%),(0.91%),(2.92%),(1.18%),(2.80%),(1.69%),(1.06%)
25-Feb-2025,(0.87%),0.31%,(1.25%),0.48%,0.20%,(0.29%),(0.03%)
27-Feb-2025,0.26%,1.09%,(0.47%),(0.14%),(0.19%),0.19%,(0.01%)
28-Feb-2025,(0.58%),1.86%,(3.58%),(1.50%),(4.34%),(1.27%),(1.86%)
03-Mar-2025,(2.40%),(1.78%),0.28%,0.17%,1.24%,(0.78%),(0.02%)
04-Mar-2025,(0.80%),0.50%,1.12%,0.35%,(1.19%),0.02%,(0.17%)
05-Mar-2025,1.18%,(1.17%),0.42%,0.44%,1.37%,0.36%,1.15%
06-Mar-2025,2.89%,0.07%,1.54%,0.19%,0.25%,1.12%,0.93%
07-Mar-2025,3.32%,(0.12%),0.27%,(0.29%),(1.74%),0.55%,0.03%
10-Mar-2025,(0.91%),(0.10%),(0.60%),0.02%,0.92%,(0.23%),(0.41%)
11-Mar-2025,0.72%,(0.12%),(0.40%),2.51%,(2.34%),0.10%,0.17%
12-Mar-2025,0.78%,1.52%,(1.93%),(0.12%),(4.26%),(0.47%),(0.12%)
13-Mar-2025,(0.73%),(0.27%),0.14%,0.49%,(0.69%),(0.25%),(0.33%)
17-Mar-2025,(0.73%),0.22%,(0.38%),1.52%,0.65%,0.12%,0.50%
18-Mar-2025,-,-,-,-,-,-,1.45%
19-Mar-2025,0.67%,1.97%,(0.02%),3.48%,(0.22%),1.14%,0.32%
20-Mar-2025,1.76%,1.41%,1.89%,0.65%,1.83%,1.54%,1.24%
21-Mar-2025,0.57%,0.09%,0.42%,1.62%,(1.42%),0.28%,0.69%
24-Mar-2025,2.02%,1.67%,1.42%,1.12%,0.01%,1.38%,1.32%
25-Mar-2025,(1.28%),1.19%,0.79%,(1.06%),2.24%,0.31%,0.04%
