Historical Adjusted Price Data,,,,,,
"Actual historical data, 02-Jan-2023 to 31-Dec-2025. Stocks: Yahoo Finance/yfinance-derived adjusted prices. NIFTY 50: ^NSEI historical index close (for an index, Close is the adjusted-price series).",,,,,,
,,,,,,
Date,Reliance Industries,HDFC Bank,TCS,ICICI Bank,Infosys,NIFTY 50
10-Apr-2023,"₹1,056.40",₹785.01,"₹2,961.10",₹847.47,"₹1,281.56","₹17,624.05"
11-Apr-2023,"₹1,061.63",₹787.30,"₹2,916.10",₹860.59,"₹1,262.30","₹17,722.30"
12-Apr-2023,"₹1,066.31",₹797.53,"₹2,941.37",₹868.64,"₹1,282.19","₹17,812.40"
13-Apr-2023,"₹1,070.33",₹801.10,"₹2,893.46",₹877.28,"₹1,247.09","₹17,828.00"
17-Apr-2023,"₹1,075.76",₹788.89,"₹2,848.68",₹879.53,"₹1,129.58","₹17,706.85"
18-Apr-2023,"₹1,063.44",₹785.55,"₹2,840.74",₹875.18,"₹1,130.52","₹17,660.15"
19-Apr-2023,"₹1,068.74",₹788.44,"₹2,803.40",₹870.35,"₹1,106.15","₹17,618.75"
20-Apr-2023,"₹1,066.03",₹791.38,"₹2,817.19",₹872.79,"₹1,098.25","₹17,624.45"
21-Apr-2023,"₹1,067.38",₹792.65,"₹2,868.05",₹864.25,"₹1,101.79","₹17,624.05"
24-Apr-2023,"₹1,071.47",₹799.07,"₹2,880.71",₹882.89,"₹1,100.85","₹17,743.40"
25-Apr-2023,"₹1,079.67",₹787.71,"₹2,881.80",₹891.38,"₹1,099.59","₹17,769.25"
26-Apr-2023,"₹1,073.33",₹791.33,"₹2,901.90",₹892.85,"₹1,101.97","₹17,813.60"
27-Apr-2023,"₹1,080.12",₹795.68,"₹2,892.64",₹896.16,"₹1,118.76","₹17,915.05"
28-Apr-2023,"₹1,099.86",₹798.81,"₹2,921.04",₹895.48,"₹1,124.60","₹18,065.00"
02-May-2023,"₹1,109.20",₹798.64,"₹2,921.18",₹899.82,"₹1,146.77","₹18,147.65"
03-May-2023,"₹1,099.68",₹801.43,"₹2,885.34",₹900.55,"₹1,139.32","₹18,089.85"
04-May-2023,"₹1,112.36",₹817.84,"₹2,922.36",₹899.43,"₹1,143.27","₹18,255.80"
05-May-2023,"₹1,109.52",₹769.48,"₹2,931.43",₹904.56,"₹1,130.30","₹18,069.00"
08-May-2023,"₹1,123.22",₹778.38,"₹2,949.49",₹915.24,"₹1,136.13","₹18,264.40"
09-May-2023,"₹1,126.70",₹778.41,"₹2,979.11",₹911.83,"₹1,140.71","₹18,265.95"
10-May-2023,"₹1,134.44",₹782.00,"₹2,982.33",₹913.44,"₹1,134.02","₹18,315.10"
11-May-2023,"₹1,127.04",₹782.52,"₹2,978.11",₹916.51,"₹1,127.60","₹18,297.00"
12-May-2023,"₹1,128.88",₹789.43,"₹2,970.99",₹921.10,"₹1,117.82","₹18,314.80"
15-May-2023,"₹1,131.10",₹793.22,"₹2,953.52",₹922.90,"₹1,129.62","₹18,398.85"
16-May-2023,"₹1,115.00",₹788.67,"₹2,956.34",₹923.49,"₹1,134.96","₹18,286.50"
17-May-2023,"₹1,108.41",₹784.44,"₹2,911.47",₹916.66,"₹1,119.34","₹18,181.75"
18-May-2023,"₹1,106.02",₹787.57,"₹2,903.44",₹923.63,"₹1,118.54","₹18,129.95"
19-May-2023,"₹1,109.61",₹788.48,"₹2,924.31",₹931.24,"₹1,139.09","₹18,203.40"
22-May-2023,"₹1,115.54",₹785.68,"₹2,993.13",₹927.39,"₹1,160.55","₹18,314.40"
23-May-2023,"₹1,115.34",₹783.84,"₹2,991.63",₹930.37,"₹1,167.06","₹18,348.00"
24-May-2023,"₹1,108.84",₹773.59,"₹2,997.35",₹917.92,"₹1,165.80","₹18,285.40"
25-May-2023,"₹1,108.70",₹770.62,"₹2,988.41",₹917.14,"₹1,170.92","₹18,321.15"
26-May-2023,"₹1,138.94",₹773.59,"₹3,020.53",₹927.73,"₹1,182.68","₹18,499.35"
29-May-2023,"₹1,145.35",₹783.02,"₹3,012.78",₹925.24,"₹1,179.94","₹18,598.65"
30-May-2023,"₹1,145.05",₹783.62,"₹3,009.01",₹927.00,"₹1,188.42","₹18,633.85"
31-May-2023,"₹1,122.31",₹771.22,"₹2,984.78",₹926.22,"₹1,183.44","₹18,534.40"
01-Jun-2023,"₹1,119.29",₹767.94,"₹3,016.09",₹913.48,"₹1,184.52","₹18,487.75"
02-Jun-2023,"₹1,115.63",₹769.14,"₹2,999.39",₹915.48,"₹1,181.79","₹18,534.10"
05-Jun-2023,"₹1,125.65",₹768.13,"₹2,984.24",₹923.88,"₹1,186.79","₹18,593.85"
06-Jun-2023,"₹1,126.61",₹765.74,"₹2,932.88",₹919.34,"₹1,163.59","₹18,599.00"
07-Jun-2023,"₹1,135.15",₹769.71,"₹2,971.54",₹917.49,"₹1,172.64","₹18,726.40"
08-Jun-2023,"₹1,135.83",₹770.19,"₹2,936.65",₹915.24,"₹1,167.05","₹18,634.55"
09-Jun-2023,"₹1,127.79",₹771.10,"₹2,912.01",₹915.39,"₹1,151.72","₹18,563.40"
12-Jun-2023,"₹1,128.79",₹766.41,"₹2,946.13",₹913.34,"₹1,175.37","₹18,601.50"
13-Jun-2023,"₹1,145.46",₹767.70,"₹2,943.23",₹920.75,"₹1,187.11","₹18,716.15"
14-Jun-2023,"₹1,159.55",₹766.87,"₹2,949.89",₹917.09,"₹1,183.06","₹18,755.90"
15-Jun-2023,"₹1,159.87",₹757.43,"₹2,940.07",₹904.21,"₹1,170.69","₹18,688.10"
16-Jun-2023,"₹1,171.16",₹767.34,"₹2,902.22",₹911.63,"₹1,175.10","₹18,826.00"
19-Jun-2023,"₹1,159.53",₹768.01,"₹2,934.68",₹900.85,"₹1,177.24","₹18,755.45"
20-Jun-2023,"₹1,161.94",₹769.62,"₹2,950.49",₹903.19,"₹1,185.79","₹18,816.70"
21-Jun-2023,"₹1,165.21",₹783.07,"₹2,978.37",₹902.36,"₹1,182.11","₹18,856.85"
22-Jun-2023,"₹1,152.12",₹786.90,"₹2,960.36",₹903.38,"₹1,165.91","₹18,771.25"
23-Jun-2023,"₹1,142.69",₹786.85,"₹2,940.11",₹901.19,"₹1,150.86","₹18,665.50"
26-Jun-2023,"₹1,133.97",₹783.05,"₹2,915.71",₹905.04,"₹1,155.72","₹18,691.20"
27-Jun-2023,"₹1,134.38",₹794.08,"₹2,922.75",₹913.48,"₹1,163.73","₹18,817.40"
28-Jun-2023,"₹1,149.39",₹802.49,"₹2,939.29",₹914.80,"₹1,176.65","₹18,972.10"
30-Jun-2023,"₹1,158.82",₹814.57,"₹3,018.64",₹912.02,"₹1,214.99","₹19,189.05"
03-Jul-2023,"₹1,188.56",₹823.38,"₹2,991.26",₹919.78,"₹1,213.36","₹19,322.55"
04-Jul-2023,"₹1,176.32",₹827.41,"₹3,024.67",₹921.88,"₹1,223.77","₹19,389.00"
05-Jul-2023,"₹1,174.39",₹801.12,"₹3,034.82",₹934.86,"₹1,225.73","₹19,398.50"
06-Jul-2023,"₹1,199.04",₹801.93,"₹3,037.51",₹936.22,"₹1,222.64","₹19,497.30"
07-Jul-2023,"₹1,196.70",₹794.95,"₹3,043.32",₹923.54,"₹1,210.17","₹19,331.80"
10-Jul-2023,"₹1,242.79",₹793.05,"₹2,990.94",₹925.49,"₹1,209.22","₹19,355.90"
11-Jul-2023,"₹1,256.27",₹789.20,"₹2,991.35",₹922.12,"₹1,226.91","₹19,439.40"
12-Jul-2023,"₹1,257.65",₹781.80,"₹2,979.92",₹921.58,"₹1,212.99","₹19,384.30"
13-Jul-2023,"₹1,246.41",₹785.70,"₹3,053.65",₹932.61,"₹1,241.92","₹19,413.75"
14-Jul-2023,"₹1,245.36",₹787.33,"₹3,212.79",₹936.86,"₹1,297.28","₹19,564.50"
17-Jul-2023,"₹1,270.81",₹803.80,"₹3,191.82",₹945.30,"₹1,294.55","₹19,711.45"
18-Jul-2023,"₹1,281.60",₹803.13,"₹3,196.52",₹951.88,"₹1,342.09","₹19,749.25"
19-Jul-2023,"₹1,291.32",₹806.77,"₹3,172.03",₹949.93,"₹1,341.86","₹19,833.15"
20-Jul-2023,"₹1,289.76",₹808.52,"₹3,174.09",₹971.55,"₹1,318.71","₹19,979.15"
21-Jul-2023,"₹1,249.83",₹802.29,"₹3,087.02",₹972.91,"₹1,211.45","₹19,745.00"
24-Jul-2023,"₹1,224.55",₹803.56,"₹3,111.26",₹968.03,"₹1,216.00","₹19,672.35"
25-Jul-2023,"₹1,223.77",₹812.28,"₹3,115.29",₹970.67,"₹1,214.18","₹19,680.60"
26-Jul-2023,"₹1,243.66",₹809.45,"₹3,105.35",₹972.38,"₹1,227.14","₹19,778.30"
27-Jul-2023,"₹1,232.09",₹801.05,"₹3,113.23",₹966.33,"₹1,231.05","₹19,659.90"
28-Jul-2023,"₹1,244.47",₹786.85,"₹3,075.20",₹972.13,"₹1,219.54","₹19,646.05"
31-Jul-2023,"₹1,255.00",₹790.54,"₹3,135.73",₹974.18,"₹1,233.37","₹19,753.80"
01-Aug-2023,"₹1,237.26",₹795.83,"₹3,163.78",₹970.52,"₹1,242.01","₹19,733.55"
02-Aug-2023,"₹1,224.04",₹785.42,"₹3,153.33",₹963.11,"₹1,234.42","₹19,526.55"
03-Aug-2023,"₹1,218.89",₹779.74,"₹3,116.03",₹941.69,"₹1,241.20","₹19,381.65"
04-Aug-2023,"₹1,235.46",₹791.02,"₹3,155.99",₹947.05,"₹1,253.98","₹19,517.00"
07-Aug-2023,"₹1,242.50",₹790.56,"₹3,193.10",₹952.08,"₹1,267.31","₹19,597.30"
08-Aug-2023,"₹1,235.02",₹789.92,"₹3,180.78",₹956.23,"₹1,264.76","₹19,570.85"
09-Aug-2023,"₹1,243.16",₹790.21,"₹3,173.35",₹957.01,"₹1,268.58","₹19,632.55"
10-Aug-2023,"₹1,248.70",₹783.19,"₹3,154.66",₹948.55,"₹1,263.76","₹19,543.10"
11-Aug-2023,"₹1,253.97",₹775.03,"₹3,160.80",₹937.48,"₹1,248.06","₹19,428.30"
14-Aug-2023,"₹1,268.79",₹771.25,"₹3,161.76",₹944.08,"₹1,267.81","₹19,434.55"
16-Aug-2023,"₹1,267.75",₹769.00,"₹3,169.60",₹941.07,"₹1,290.51","₹19,465.00"
17-Aug-2023,"₹1,249.47",₹764.73,"₹3,148.84",₹936.30,"₹1,284.18","₹19,365.25"
18-Aug-2023,"₹1,258.72",₹761.60,"₹3,085.92",₹935.32,"₹1,263.49","₹19,310.15"
21-Aug-2023,"₹1,244.99",₹761.00,"₹3,117.59",₹939.80,"₹1,278.59","₹19,393.60"
22-Aug-2023,"₹1,244.69",₹757.74,"₹3,099.71",₹936.65,"₹1,277.09","₹19,396.45"
23-Aug-2023,"₹1,246.07",₹759.61,"₹3,114.47",₹951.26,"₹1,280.91","₹19,444.00"
24-Aug-2023,"₹1,225.13",₹756.12,"₹3,104.85",₹953.32,"₹1,295.15","₹19,386.70"
25-Aug-2023,"₹1,219.47",₹747.60,"₹3,098.93",₹954.75,"₹1,291.96","₹19,265.80"
28-Aug-2023,"₹1,207.32",₹755.37,"₹3,093.67",₹954.90,"₹1,287.91","₹19,306.05"
29-Aug-2023,"₹1,195.76",₹761.38,"₹3,094.21",₹952.14,"₹1,289.73","₹19,342.65"
30-Aug-2023,"₹1,194.62",₹755.83,"₹3,107.78",₹943.44,"₹1,305.65","₹19,347.45"
31-Aug-2023,"₹1,189.16",₹752.36,"₹3,076.48",₹943.29,"₹1,305.93","₹19,253.80"
01-Sep-2023,"₹1,191.95",₹753.91,"₹3,097.01",₹953.08,"₹1,313.57","₹19,435.30"
04-Sep-2023,"₹1,190.99",₹758.63,"₹3,133.03",₹951.75,"₹1,332.90","₹19,528.80"
05-Sep-2023,"₹1,197.36",₹754.01,"₹3,142.97",₹952.78,"₹1,345.46","₹19,574.90"
06-Sep-2023,"₹1,199.88",₹763.87,"₹3,143.48",₹942.06,"₹1,344.14","₹19,611.05"
07-Sep-2023,"₹1,201.51",₹771.22,"₹3,166.71",₹950.08,"₹1,333.90","₹19,727.05"
08-Sep-2023,"₹1,209.51",₹777.23,"₹3,154.47",₹954.90,"₹1,336.99","₹19,819.95"
11-Sep-2023,"₹1,222.56",₹781.25,"₹3,189.99",₹962.47,"₹1,343.23","₹19,996.35"
12-Sep-2023,"₹1,204.89",₹783.69,"₹3,281.77",₹974.53,"₹1,365.65","₹19,993.20"
13-Sep-2023,"₹1,210.92",₹787.05,"₹3,269.91",₹973.84,"₹1,363.15","₹20,070.00"
14-Sep-2023,"₹1,212.03",₹786.57,"₹3,262.76",₹971.77,"₹1,370.97","₹20,103.10"
15-Sep-2023,"₹1,214.28",₹795.59,"₹3,297.81",₹976.44,"₹1,375.20","₹20,192.35"
18-Sep-2023,"₹1,203.71",₹779.94,"₹3,305.01",₹974.23,"₹1,357.19","₹20,133.30"
20-Sep-2023,"₹1,176.88",₹748.65,"₹3,304.92",₹971.23,"₹1,355.78","₹19,901.40"
21-Sep-2023,"₹1,168.31",₹743.69,"₹3,285.90",₹943.83,"₹1,366.24","₹19,742.35"
22-Sep-2023,"₹1,163.44",₹732.35,"₹3,302.72",₹934.97,"₹1,361.15","₹19,674.25"
25-Sep-2023,"₹1,156.28",₹732.99,"₹3,278.43",₹940.93,"₹1,341.13","₹19,674.55"
26-Sep-2023,"₹1,157.29",₹736.18,"₹3,286.27",₹933.40,"₹1,328.85","₹19,664.70"
27-Sep-2023,"₹1,170.34",₹731.01,"₹3,289.57",₹927.89,"₹1,334.63","₹19,716.45"
28-Sep-2023,"₹1,153.14",₹729.50,"₹3,241.40",₹927.40,"₹1,309.57","₹19,523.55"
29-Sep-2023,"₹1,158.53",₹730.74,"₹3,233.93",₹936.55,"₹1,305.93","₹19,638.30"
03-Oct-2023,"₹1,145.26",₹722.00,"₹3,220.42",₹925.14,"₹1,304.61","₹19,528.75"
04-Oct-2023,"₹1,143.29",₹732.30,"₹3,242.32",₹915.05,"₹1,314.02","₹19,436.10"
05-Oct-2023,"₹1,143.26",₹735.27,"₹3,289.61",₹925.68,"₹1,331.40","₹19,545.75"
06-Oct-2023,"₹1,145.19",₹734.45,"₹3,318.98",₹929.96,"₹1,345.27","₹19,653.50"
09-Oct-2023,"₹1,135.43",₹725.93,"₹3,334.52",₹923.46,"₹1,342.32","₹19,512.35"
10-Oct-2023,"₹1,140.45",₹730.05,"₹3,325.86",₹935.86,"₹1,360.24","₹19,689.85"
11-Oct-2023,"₹1,158.55",₹737.11,"₹3,308.45",₹937.73,"₹1,359.56","₹19,811.35"
12-Oct-2023,"₹1,160.70",₹742.02,"₹3,246.72",₹938.86,"₹1,333.26","₹19,794.00"
13-Oct-2023,"₹1,160.65",₹735.27,"₹3,272.66",₹935.96,"₹1,302.01","₹19,751.05"
16-Oct-2023,"₹1,158.06",₹732.32,"₹3,229.76",₹936.06,"₹1,304.74","₹19,731.75"
17-Oct-2023,"₹1,163.59",₹737.88,"₹3,214.18",₹938.52,"₹1,312.29","₹19,811.50"
18-Oct-2023,"₹1,148.15",₹727.61,"₹3,196.04",₹928.53,"₹1,310.57","₹19,671.10"
